ID,name,description,price,code
d0b13f82-2c56-4a4b-9b9e-df54b5d84756,Tênis de Corrida Nike Air Zoom,Tênis de corrida com tecnologia de amortecimento ideal para longas distâncias,599.99,NKZOOM
0eab8a68-245d-4b4c-97c9-4fd469cd7e77,Tênis de Basquete Adidas Pro Bounce,Tênis de basquete com excelente tração e suporte para movimentos rápidos,499.90,ADPROB
34d7ff99-2d4e-48ff-bfdb-9d82bb6b1f6b,Tênis Casual Puma Suede,Tênis casual de camurça confortável para o dia a dia com estilo clássico.,349.00,PMSUEDE
e2a1d74b-8d4b-4cb7-8c9b-d89a1a476b0b,Tênis Running Asics Gel,Tênis de corrida com sistema de gel para absorção de impacto e conforto prolongado.,699.99,ASGEL
b6b0c2a3-12f4-49f5-90b0-420533db0c44,Tênis Reebok Crossfit Nano,Tênis para crossfit com sola reforçada e estabilidade para treinos intensos.,379.90,RBKCFN
7f23cdb0-2d6e-4e2b-b62c-3b94e9f26bdf,Tênis Skechers GoRun,Tênis leve e flexível para corridas com sola que proporciona máxima tração.,499.00,SKGRUN
45a9ff5b-6a8a-469f-b5f3-b9fd8725fca5,Tênis Nike Free Run,Tênis para corrida com design flexível que imita o movimento natural dos pés.,459.90,NKFREER
08d1b21d-d0a7-4ad4-bfa3-33d9b3b8b3c5,Tênis Vans Old Skool,Tênis clássico de skate com design vintage e durabilidade garantida.,299.99,VNSKOL
3f4cbfc6-063f-4f0a-b09b-5090d2904b3b,Tênis New Balance 990v5,Tênis de alto desempenho com amortecimento em várias camadas para conforto durante todo o dia.,799.00,NB990V5
2213b5ec-1320-48a4-81f0-7392e10a26fe,Tênis Adidas Ultraboost,Tênis de corrida com tecnologia Ultraboost para máxima energia e conforto em cada passo.,899.90,ADULTRA
